"Rank","Song","Artist","Year","Lyrics","Source"
"1","irreplaceable","beyonc?","2007","NA",NA
"2","umbrella","rihanna featuring jayz","2007","  yeah rihannagood girl gone bad take three action no clouds in my storms let it rain i hydroplane into fame comin down like the dow joneswhen the clouds come we gone we rocafellas we fly higher than weather and she flies it betteryou know me in anticipation for precipitation stack chips for the rainy day jay rain man is back with little miss sunshine rihanna where you at   related           match these taylor swift songs to her exboyfriends       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           you had my heart and well never be worlds apart maybe in magazines but youll still be my star baby cause in the dark you cant see shiny cars and thats when you need me there with you ill always share because when the sun shines well shine together told you ill be here foreversaid ill always be your friend took an oath ima stick it out to the end now that its raining more than ever know that well still have each other you can stand under my umbrellayou can stand under my umbrella ella ella eh eh eh under my umbrella ella ella eh eh eh    photos                                   under my umbrella ella ella eh eh eh under my umbrella ella ella eh eh eh eh eh ehthese fancy things will never come in between youre part of my entity here for infinity when the war has took its part when the world has dealt its cards if the hand is hard together well mend your heart because when the sun shines well shine together told you ill be here foreversaid ill always be your friend took an oath ima stick it out to the end now that its raining more than ever know that well still have each other you can stand under my umbrellayou can stand under my umbrella ella ella eh eh eh under my umbrella ella ella eh eh ehunder my umbrella ella ella eh eh eh under my umbrella ella ella eh eh eh eh eh ehyou can run into my arms its okay dont be alarmed come in to me theres no distance in between our love so go on and let the rain pour ill be all you need and more because when the sun shines well shine together told you ill be here forever said ill always be your friend took an oath ima stick it out to the end now that its raining more than ever know that well still have each other you can stand under my umbrella you can stand under my umbrella ella ella eh eh eh under my umbrella ella ella eh eh eh under my umbrella ella ella eh eh eh under my umbrella ella ella eh eh eh eh eh eh its raining raining ooh baby its raining raining baby come in to me come in to me its raining raining ooh baby its raining raining you can always come here to me come in to me its pouring rain its pouring rain come in to me come in to me its pouring rain its pouring rain come in to me come in to me         ",1
"3","the sweet escape","gwen stefani featuring akon","2007","  woowho yeewho woowho yeewho woowho yeewho woowho yeewhoif i could escape i would but first of all let me say i must apologize for acting stank  treating you this way cause ive been acting like sour milk all on the floor its your fault you didnt shut the refrigerator maybe thats the reason ive been acting so cold    related           11 delicious misheard lyrics about food       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           if i could escape escape and recreate a place thats my own world own world and i could be your favorite girl forever perfectly together and tell me boy now wouldnt that be sweet sweet escape if i could be sweet be sweet i know ive been a real bad girl bad girl i didnt mean for you to get hurtwhatsoever we can make it better and tell me boy now wouldnt that be sweet sweet escapewoowho i wanna get away yeewho get away woowho to our sweet escape yeewho sweet escapewoowho i wanna get away yeewho get away woowho ooh yeah yeewho ooh yeah    photos                                   you melt me down im at my lowest boiling point come help me out i need to get me out of this jointcome on lets bounce counting on you to turn me around instead of clowning around lets look for some common ground so baby times gettin a little crazy ive been gettin a little lazy waiting for you to come save me i can see that youre angry by the way that you treat mehopefully you dont leave mei want to take you with me if i could escape escape and recreate a place thats my own world own worldand i could be your favorite girl forever perfectly together and tell me boy now wouldnt that be sweet sweet escape if i could be sweet be sweet i know ive been a real bad girl bad girli didnt mean for you to get hurt whatsoever we can make it better and tell me boy now wouldnt that be sweet sweet escape woowho yeewho woowho yeewho if i could escape woowho yeewho if i could escapewoowho yeewho cause ive been acting like sour milk all on the floor its your fault you didnt shut the refrigerator maybe thats the reason ive been acting so cold if i could escape escape and recreate a place thats my own world own world and i could be your favorite girl forever perfectly together and tell me boy now wouldnt that be sweet sweet escape if i could be sweet be sweet i know ive been a real bad girl bad girl i didnt mean for you to get hurt whatsoever we can make it better and tell me boy now wouldnt that be sweet sweet escape woowho i wanna get away yeewho get away woowho to our sweet escape yeewho sweet escape woowho i wanna get away yeewho get away woowho ooh yeah yeewho ooh yeah woowho yeewho woowho yeewho the sweet escape         ",1
"4","big girls dont cry","fergie","2007","  da da da dathe smell of your skin lingers on me now youre probably on your flight back to your home town i need some shelter of my own protection baby be with myself and center clarity peace serenityi hope you know i hope you know that this has nothing to do with you its personal myself and i weve got some straightenin out to do and im gonna miss you like a child misses their blanket but ive got to get a move on with my life its time to be a big girl now and big girls dont cry dont cry dont cry dont cry   related           can you guess the song by the emojis       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           the path that im walking i must go alone i must take the baby steps til im full grown full grown fairytales dont always have a happy ending do they and i foresee the dark ahead if i stayi hope you know i hope you know that this has nothing to do with you its personal myself and i weve got some straightenin out to do and im gonna miss you like a child misses their blanket but ive got to get a move on with my life its time to be a big girl now and big girls dont crylike the little school mate in the school yard well play jacks and uno cards ill be your best friend and youll be my valentine yes you can hold my hand if you want to cause i want to hold yours too well be playmates and lovers and share our secret worlds    photos                                   but its time for me to go home its getting late and dark outside i need to be with myself and center clarity peace serenityi hope you know i hope you know that this has nothing to do with you its personal myself and i weve got some straightenin out to do and im gonna miss you like a child misses their blanket but ive got to get a move on with my life its time to be a big girl now and big girls dont cry dont cry dont cry dont cryla da da da da da          ",1
"5","buy u a drank shawty snappin","tpain featuring yung joc","2007","NA",NA
"6","before he cheats","carrie underwood","2007","  right now hes probably slow dancing with a bleachedblond tramp and shes probably getting frisky right now hes probably buying her some fruity little drink cause she cant shoot whiskeyright now hes probably up behind her with a poolstick showing her how to shoot a combo and he dont knowi dug my key into the side of his pretty little soupedup fourwheel drive carved my name into his leather seats i took a louisville slugger to both head lights i slashed a hole in all four tires maybe next time hell think before he cheats   related           26 best breakup songs of all time       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           right now shes probably up singing some whitetrash version of shania karaoke right now shes probably saying im drunk and hes athinking that hes gonna get luckyright now hes probably dabbing on three dollars worth of that bathroom polo oh and he dont knowthat i dug my key into the side of his pretty little soupedup fourwheel drive carved my name into his leather seats i took a louisville slugger to both head lights i slashed a hole in all four tires maybe next time hell think before he cheatsi might have saved a little trouble for the next girl cause the next time that he cheats oh you know it wont be on me no not on me    photos                                   cause i dug my key into the side of his pretty little soupedup fourwheel drive carved my name into his leather seats i took a louisville slugger to both head lights i slashed a hole in all four tires maybe next time hell think before he cheatsoh maybe next time hell think before he cheats oh before he cheats oh          ",1
"7","hey there delilah","plain white ts","2007","  hey there delilah whats it like in new york city im a thousand miles away but girl tonight you look so pretty yes you do times square cant shine as bright as you i swear its truehey there delilah dont you worry about the distance im right there if you get lonely give this song another listen close your eyes listen to my voice its my disguise im by your side   related           songs that will make you cry uncontrollably       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           oh its what you do to me oh its what you do to me oh its what you do to me oh its what you do to me what you do to mehey there delilah i know times are getting hard but just believe me girl someday ill pay the bills with this guitar well have it good well have the life we knew we would my word is goodhey there delilah ive got so much left to say you if every simple song i wrote to you would take your breath away id write it all even more in love with me youd fall wed have it all    photos                                   oh its what you do to me oh its what you do to me oh its what you do to me oh its what you do to mea thousand miles seems pretty far but theyve got planes and trains and cars id walk to you if i had no other way our friends would all make fun of us and well just laugh along because we know that none of them have felt this way delilah i can promise you that by the time we get through the world will never ever be the same and youre to blamehey there delilah you be good and dont you miss me two more years and youll be done with school and ill be making history like i do youll know its all because of you we can do whatever we want to hey there delilah heres to you this ones for youoh its what you do to me oh its what you do to me oh its what you do to me oh its what you do to me what you do to me         ",1
"8","i wanna love you","akon featuring snoop dogg","2007","  konvict konvict muzikand you know we upfront i see you winding and grinding up on that floor i know you see me lookin at you when you already know i wanna love you you already know i wanna love youyou already know girl money in the air thats mo fair grab you by your coat tail take you to the motel wholesale dont tell wont tell baby say i dont talk dog but she told on me oh well take a picture with me what the flick gon do baby stick to me and ima stick on you if you pick me then ima pick on you dodoubleg and im here to put this on you im stuck on and yours is right rip ride on those floors and those doors is tight   related           match these taylor swift songs to her exboyfriends       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           and ima get me a shot for the end of the night cause is and baby youre for life i see you winding and grinding up on that floor i know you see me lookin at you when you already know i wanna love youyou already know i wanna love you you already know girl shorty i can see you aint lonely handful of niggers and they all got gs so you lookin at me now what its gonna be just another a tease far as i can see trying to get you up out this club if it means spendin a couple dubsthrowin about 30 stacks in the back make it rain like that cause im far from a scrub and you know my pedigree exdeala used to move phetamines    photos                                   girl i spend money like it dont mean nothing and besides i got a thing for you i see you winding and grinding up on that floor i know you see me lookin at you when you already know i wanna love you you already know i wanna love you you already know girl mobbin through the club in the low pressin im sittin in the back in the smoker sectionbirds eye i got a clear view you cant see me but i can see you its cool we jet the mood is set your is so wet youre rubbin your back and touchin your neck your body is movin youre humpin and jumpin your is bouncin youre smilin and grinning and lookin at me girl and while you lookin at me im ready to hit the catty right up on the patio move the patty to the cattybaby you got a fatty the type i like to marry wanting to just give you everything and that s kinda scary cause im lovin the way you shake your ass bouncin got me tippin my glassnormally dont get caught up too fast but i got a thing for you i see you winding and grinding up on that floor i know you see me lookin at you when you already know i wanna love you you already know i wanna love you you already know i see you winding and grinding up on that floor i know you see me lookin at you when you already know i wanna love you you already know i wanna love you you already know girl         ",1
"9","say it right","nelly furtado","2007","  in the day in the night say it right say it all you either got it or you dont you either stand or you fallwhen your will is broken when it slips from your hand when theres no time for joking theres a hole in the planoh you dont mean nothing at all to me no you dont mean nothing at all to me do you got what it takes to set me freeoh you could mean everything to me i cant say that im not lost and at fault i cant say that i dont love the light and the dark i cant say that i dont know that i am alive and all though what i feel i could showyou tonight you tonight oh you dont mean nothing at all to me no you dont mean nothing at all to medo you got what it takes to set me free   related           15 huge stars who were backup singers first       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           oh you could mean everything to me from my hands i could give you something that i made from my mouth i could sing you another bridge that i made from my body from my body i could show you i could show you a place a place god knows that only god knows you should know the space is holy do you really want to go oh you dont mean nothing at all to me no you dont mean nothing at all to me do you got what it takes to set me free oh you could mean everything to me     photos                                            ",1
"10","glamorous","fergie featuring ludacris","2007","  are you ready if you aint got no money take yo broke broke home you say it if you aint got no money take yo broke broke homeglamorous yeah glamorouswe flyin first class up in the sky poppin champagne livin my life in the fast lane i wont change by the glamorous ooh the flossy flossythe glamorous the glamorous glamorous the glamorous life by the glamorous ooh the flossy flossy the glamorous the glamorous glamorous the glamorous life by the glamorous ooh the flossy flossy   related           the best karaoke songs ever ranked       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           wear them gold and diamonds rings all them things dont mean a thing chaperons and limousines shoppin for expensive thingsi be on the movie screens magazines and boogie scenes im not clean im not pristine im no queen im no machinei still go to taco bell drive through raw as hell i dont care im still real no matter how many records i sellafter the show or after the grammys i like to go cool out with the family sippin reminiscing on days when i had a mustang and now im in    photos                                   first class up in the sky poppin champagne livin my life in the fast lane i wont change by the glamorous ooh the flossy flossythe glamorous the glamorous glamorous the glamorous life by the glamorous ooh the flossy flossy the glamorous the glamorous glamorous the glamorous life by the glamorous ooh the flossy flossyim talkin champagne wishes caviar dreams you deserve nothin but all the finer things now this whole world has no clue what to do with us i got enough money in the bank for the two of usplus i gotta keep enough lettuce to support your shoe fetish lifestyles so rich and famous robin leachll get jealous half a million for the stones takin trips from here to rome so if you aint got no money take yo broke homeglamorous yes glamorouswe flyin first class up in the sky poppin champagne livin my life in the fast lane i wont change by the glamorous ooh the flossy flossythe glamorous the glamorous glamorous the glamorous life by the glamorous ooh the flossy flossy the glamorous the glamorous glamorous the glamorous life by the glamorous ooh the flossy flossyi got problems up to here i got people in my ear tellin me these crazy things that i dont want to know  yall i got money in the bank and id really like to thank all the fans id like to thank thank you really thoughcause i remember yesterday when i dreamt about the days when id rock on mtv thatd be really dope damn its been a long road and the industry is cold im glad my daddy told me so he let his daughter knowif you aint got no money take yo broke broke home my daddy told me so if you aint got no money take yo broke broke home he let his daughter know if you aint got no money take yo broke broke home my daddy told me so if you aint got no money take yo broke broke home he let his daughter know         ",1
